Name,Location,Nearby,Description
"Wood carving museum of Bhaktapur, Nepal","Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673286, 85.435544","Salan Ganesh Temple and the pond
77.79 m
Brass and Bronze museum of Bhaktapur, Nepal
40.83 m
Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
54.57 m
Bhimsen temple of Bhaktapur: the temple of trade master
75.71 m","Wood carving museum of Bhaktapur
Wood carving museum, you can find this well-garnished architecture on the left side of the Dattatraya temple. At once, it used to be the pujari math of Tachupal Chowk but now it is considered one of the significant museums of Bhaktapur.
OUTLINES OF CONTENTS
Wood carving museum of Bhaktapur
The ground floor of the wood carving museum
Some historical facts related to the wood carving museum
Nearby the wood carving museum
Just accessing through the main door and reaching the inner yard would leave you with a big wonderment. But yes, before reaching there, you need to show your yellow-colored ticket to the guards of the museum.
If you already have visited the National Art Museum of Bhaktapur Durbar  Square or the Brass and Bronze Museum, then you don’t need to buy another one here. The same ticket works for you.
The ground floor of the wood carving museum
The rich wood carvings start to appear as soon as you step into the wood carving museum. The windows of the following floors, the struts, and the wooden pillars, make us realize that yes, we are in the woodcarving museum.
In the straight corner, there is a mask of Jayamal often called Jaya or Jai. He was a far-famed wrestler of the Malla era.
In front of it, there is a stairway that leads you to the very top and the third floor of the building.
*On the museum’s first floor, there is a room filled with wall paintings. But nevertheless, you might not call it actually a wall painting because the paintings are painted on a wooden platform that is attached to the room’s walls.
There are paintings depicting the Ramayana and Krishna Leela stories. On the beam, there are paintings of Nava Durgas (Astamatrika), Lord Vishnu’s Dasa Avatar. The room is literally filled with paintings, as there are paintings even on the ceilings.
Now, coming back to the third floor, you will find some of the most exquisite pieces of wooden art over there.
The museum is like a paradise for art admirers and practitioners. There are several statues made in the woods which consist of the statue of Bhairava, Vishnu, Buddha, Nitya Devi, Tara, Bhrikuti, Ganesha, Shiva, and many others.
The most satisfying part of being in the museum is that you can take pictures of these centuries-old crafts.
With the statues, there are torans, wooden pillars, and even boxes (safes) of different eras.
Besides these things, there is one unique thing that indeed is quite different from the ancient newa culture. A tiny window made out of brick, not the woods.
There might be some sort of story behind outputting such a window. Yet, there is one more thing that not only surprises you but also startled you.
After entering the third floor of the museum, you will find a small room on your left-hand side. It mentions that there is a statue of Bhairava with shakti (shakti means his consort) and some wall paintings.
Even after keeping that thing in your mind before entering over there, you would probably get startled. So, keep calm and enjoy what’s inside there.
Some historical facts related to the wood carving museum
The building of the current wood carving museum, which initially came into existence during the reign of King Yakshya Malla with the most epigraphic temple of Bhaktapur, The Dattatreya Temple.
After the blessing of King Yakshya Malla, it was rebuilt in 1763. And again renovated by German experts as the wedding gift to the then King Birendra in 1979.
The peacock window, being the most alluring woodcraft from the 15th century, even today made us come for it. You have to leave the museum to go look for the window because the window is placed on the eastern side of the building. A narrow street facing south (next to the museum) leads to this masterpiece.
Nearby the wood carving museum
The museum, of course, with the dark rooms and brazen woodcraft, showcases the then wood carvings. Nearby, there are some mini souvenir shops with miniature wooden peacock windows. And the brass and bronze museum to share the ticket, for instance.
Besides, there are different cafes and restaurants along with a small old shop, on the left corner of the Dattatraya temple.
However, the earthquake of 2015 made the museum quite terrible. But, it’s worthy enough to widen your eyes for the classics."
Sundhara; the golden conduit of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672654, 85.428699","Nyatapola Temple: the tallest pagoda style temple of Nepal
227.47 m
National Art Museum; the Simhadhwaka Durbar of Bhaktapur
53.18 m","Sundhara; the golden conduit of Bhaktapur Durbar Square
Must be in amazement, estimating that where the ordeal Sundhara is in Bhaktapur?
OUTLINES OF CONTENTS
Sundhara; the golden conduit of Bhaktapur Durbar Square
About the making of Sundhara
More about the Sundhara
Well, Sundhara is one archaic conduit of Bhaktapur that lies within the Bhaktapur Durbar Square. It aesthetically is a very famous Hiti. Here, Hiti is a term, meaning the taps in the local language. Yes, this conduit that lies beneath the ground level is most commonly known as the Nagpokhari of the Durbar square.
Sundhara of Bhaktapur Durbar Square PC: Sameer Shakya
The conduit and its surroundings are all crafted and decorated through the images of serpents. Things might be the probable reason behind calling this golden conduit as Naag Pokhari. But in the studies, this conduit along with the pond was called Sundhara, which literally means the golden conduit.
You might also find people calling it Luhiti, which also means the golden conduit exactly in Nepal Bhasa ( most commonly known as the newari language).
Sundhara, on the other hand, is a symbol of unique aesthetic grace which is as its name is golden. It has one of the most extricating carvings on the mouth of the spout. The head of a non-castrated he-goat and the figures of different animals and Gods posing in that court really make you say, awe-inspiring.
Furthermore, in front of Sundhara, there is a diminutive pond, in the middle of which an image of gold-plated Naag with a wooden pillar does stand. Perhaps, that’s why people also call this arena Naag Pokhari rather than Sundhara.
Well, around the Sundhara and the pond, you can examine the brick thoroughfare with the stonewall enclosed by the amounts of the serpent including numerous figures of Gods and Goddesses.
Thus, it is unique.
About the making of Sundhara
Bhaktapur and its monuments, never stay emptied without an ambiguous and fascinating story. So, the same goes for this Sundhara.
King Jitmitra Malla, who seems to have contributed a lot to making temples, courtyards, and the palace itself was also one of the most creative kings of Bhaktapur. It is said that one night the Goddess Taleju obliged herself before King Jitamitra Malla, in his dream while the construction of the Thanthu royal palace was on, to the east of Taleju temple.
Know more about the Malla kings of Bhaktapur.
She then instructed him to make preparation for fetching water from the Mahadev river of Nagarkot to carry out the periodic worship of Taleju in the palace.
Consequently, water was then collected from around the smaller streams originating from Mahadev mountain in big storage. It was then diverted into a pond for necessary treatment and finally brought to the golden spout inside the palace through the Royal Cannel (Raj Kulo).
(That pond might be called today’s Mahadev Pokhari, where every year, on the month of Poush/Magh, devotees come and take bath as well as worship at the nearby Mahadev temple.)
The initiated work of constructing Sundhara along with the pond was begun in 1678 (798 Nepal Sambat) and completed in 1683 (803Nepal Sambat).
There is an even more impressive story recounted about this Sundhara. As per the anecdote, on the inauguration day of this Sundhara and pond, religious worship was offered to the Taleju Goddess invoking Tantrik Shakti, and a pair of white ducks were left to flow through this spout.
Legend has it that these ducks easily passed through the mouth of Sundhara turning into a smaller size. They were seen swimming in the pond. This process of appearing and disappearing of these ducks was said to be observed till some generations of the Malla period.
Sundhara of Bhaktapur Durbar Square
More about the Sundhara
The earliest water source of this conduit was Mahadev Pokhari, Nagarkot which later was taken over by the modern piped system.
However, amid the disruption of Raj Kulo, Sundhara also lost its natural source of water, and today, the modern piped system has been enlarged with the existing infrastructure of Sundhara. Though the water supply is limited and the water streams, for a few hours in the morning and evening for religious worship which also seems not regular.
The water Sundhara was used for the worship of the Thanthu palace. Also, the king and queen used to take bath in this conduit before leaving to have a rest near the Khopi (resting room).
The water of this conduit is still used to worship the Goddess Taleju. However, sometimes, the irregularity of the water flow compels to use of the encaged pond water nearby for religious worship in the Taleju temple.
Reference
Research paper on water and culture-Ganesh Khaniya"
Salan Ganesh Temple and the pond,"Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673865, 85.435101","Bhimsen temple of Bhaktapur: the temple of trade master
54.21 m
Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
26.34 m
The existence of Laxmi Narayan temple in Dattatraya Square
28.96 m","Within the sphere of Dattatreya Square, there are three more temples that hold both cultural and religious paramount. Among them,  the Salan Ganesh Temple is the one, which lies in the right-hand corner of the square.
A narrow street leads the way to the temple. The temple is particularly special because of the image of Lord Ganesh. But, it is not a sculpture. The image is rooted in a natural stone that has a symbolic form of Ganesha or the elephant-headed image.
Nowadays, it became more indistinguishable because of the red tika, covered all over it.
The Salan Ganesh is also sub-titled as the Adhi Ganesh among the asta Ganesh. During the procession process in Gai jatra, this temple is revolved by a bunch of people. Thus, because of that, it was called Salan Ganesha.
However, until today, the exact erection date of the temple has not been defined. Yet, some guesses call it the temple developed in the 13th century. Sumerialy, the date 1654 also arouses as its erected date. 
Salan Ganesha pokhari
Salan Ganesh Pokhari
The pond behind the Salan Ganesha Temple is said to be dedicated to the temple. That’s why it is named the Salan Ganesha pokhari. Consequently, the eve made this pond fill with young people as well as the old ones. While, for now, there is no use of this pond except for having a peaceful time with friends.
Furthermore, it is presumed that the pond might have been in existence since the 16 or 17th centuries. From then till today, this pond remains in its initial structure. Along with the length and width of 300 and 150 ft respectively.
Nearby, in the north direction of the pond, there is an Agam Chhen of the respective temple. The architecture is best known for its eccentric display of woodcarvings. All the torans, windows, doors, as well as struts, are shaped in beautiful patterns.
Salan Ganesh Agam Chhen PC: Praz Santt/bhaktapur.com"
The existence of Laxmi Narayan temple in Dattatraya Square,"Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673637, 85.434959","Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
37.82 m
Salan Ganesh Temple and the pond
28.96 m
Bhimsen temple of Bhaktapur: the temple of trade master
25.42 m","There are so many Narayan temples within the Bhaktapur Nagar. So that people often get confused about the names of the temples. However, the places and their architecture, distinguish them from each other. The Laxmi Narayan temple stands out as the most unique Narayan temple in the Bhaktapur Nagar. 
Location wise, the Laxmi Narayan temple lies on the premises of Dattatreya Square. That, in the northern arena of the square.
Though this temple was erected in the 18th century, it still bears to stand in between us.
Architecturally, it is made off of multiple roofs. Which is more likely the traditional roofing style of Nepal. Although it is made in a traditional format, it still has some uniqueness. More than any other temple which seems similar to traditional architecture.
Moreover, on the other hand, this tiny heritage site is also a fine example of wood adeptness. One can observe the very well wood carvings in its entrances and torans.
Plus, there is a pair of lions too, in front of its entrance. That generally symbolizes the temple of Devi and the attending vehicles of Mahalaxmi. Since the temple is honoured to both Laxmi and Narayan, the statues of lions were established there. While the entrances are filled with carvings of snakes too.
Furthermore, the Laxminarayan temple is blessed with the pristine image of Laxmiarayan. But that doesn’t mean there are two statues of the deities i.e Laxmi and Narayan.
Instead, there is only one image which generally is of a combined form of Laxmi and Narayan. If you take an attentive look at the statue, then you realize it. That the statue actually has two different figures as well as bearings."
Bhimsen temple of Bhaktapur: the temple of trade master,"Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673457, 85.434800","Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
60.45 m
Salan Ganesh Temple and the pond
54.21 m
The existence of Laxmi Narayan temple in Dattatraya Square
25.42 m","There are still several temples and heritage sites in Bhaktapur which has no evidence of their existence. Yet, they are standing in front of us. But, its history is somewhere else. No one accurately knows about them. In those dusting and busts of the city, the erection of the Bhimsen temple also got faded.
Somehow, the archaeologists presume, it was erected in 1605 CE. While some other sources dated it back to the 18th century.
This two-floored rectangular pagoda, the temple of Lord Bhimsen is located right in front of the Dattatreya Temple within the premises of Dattatrya square. Plus, it was renovated lately in the year 2018. However, it is standing in its initial structure until now. As the name of the temple assumes, it is the temple of lord Bhimsen.
The Bhimsen temple is often called Bhisindyo or Bhindyo by the local people.
This Bhimsen temple is extraordinarily large in length unlike any other temple in Bhaktapur. Plus, there are 7 pinnacles crowning in the tiny and pretended tier of the temple.
The windows, doors, and struts alike are filled with beautiful carvings. For instance, the temple is not only blessed with the Bhimsen but also with the statue of Draupati. Here, Draupati is one of the main characters of Mahabharata, who was also the wife of Panch Pandava.
Adding more, the ground floor of its looks like a resting place. Since it is open to everyone and has nothing except a big space. Within the same series, there is a doorway guarded by two stone images. Ultimately, that portal guides to the main temple of Bhimsen.
About the Lord Bhimsen
Bhimsen is a god with a red face, angry eyes, and a thick dark moustache. He is worshipped as the god of trade and commerce. Perhaps, because of that, every household has had its portrait, especially in the shops. They believe that the praying of Lord Bhimsen would bring good fortune and success in business.
Bhimsen
Usually, the local people come and worship in the temple but the traders often come on Saturday to do worship. It seems Saturday is one special day to worship Bhimsen. Besides that, the bhimsen is worshipped especially on Holi Purnima and Yomari Purnima.
Bhimsen pokhari of Bhaktapur
With the temple, a conduit is attached, right to its back. That is a conduit but for some unknown reason, it is also called a pond. That’s why that conduit along with the assumed pond is called Bhimsen pokhari.
Meanwhile, some shreds of evidence show up as the conduit made in the lichhavi period. The northern, as well as the southern steps, still have some sort of carving evidence.  That mentioned the name of some, of the then rulers of Bhaktapur like Raya Malla, Ram Malla, Rana Malla, and Bhim Malla. It was placed during its renovation.
With that, different classic statues like the statue of Narayan with four hands, Chandra, Surya, Ganesh, and some others are also established over there. Similarly, as the attraction, the conduit itself beholds the antique beauty.
The carvings relating to the crocodiles and torans giving shelter to the statue of Narayan above the sunken look so impressive."
Til Madhav Narayan Temple; one hidden temple that exist in front of Nyatapola,"Taumadhi Square, Bhaktapur Municipality, Bhaktapur
27.670725, 85.429304","Nyatapola Temple: the tallest pagoda style temple of Nepal
4.83 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
234.01 m
National Art Museum; the Simhadhwaka Durbar of Bhaktapur
184.74 m","Apart from researchers, it would be amazing if anyone in this generation is aware of the Til Madhav Narayan Temple.
OUTLINES OF CONTENTS
Til Madhav Narayan
Til Madhav Narayan, the deity who blesses the devotees with children
About the emergence of Til Madhav Narayan
The temple of Til Madhav Narayan is one of the most important temples of Nepal, as it is one of Nepal’s oldest temples, dating back to 238 N.S. (1118 A.D). Even yet, it manages to stand straight in a good position between us.
The temple is located just in front of the Nyatapola Temple, in the southern arena. However, it is hidden behind a wall of houses. You can enter the courtyard where the temple has been residing through one narrow open doorway.
Til Madhav Narayan Temple
PC: bhaktapur.com/ Prashant Prajapati
Til Madhav Narayan
Til Madhav Narayan is one of Lord Vishnu’s incarnations. Even if no one could enter the temple, the statue of Garuda, conch and wheel confirmed the presence of the deity. There is also Lord Natyeshwor, who is supposed to have been established there to protect Til Madhav Narayan.
According to the temple priest, the depiction of Til Madhav Narayan differs greatly from other renderings of Narayan. He explained that this statue only has three hands. Another restriction is that no worshipers are permitted to visit the shrine or even see the Lord Narayan statue.
And, yes, photography is not permitted inside the temple.
The temple is open from 4 a.m. to 8 p.m. During this period, the priest performs Nitya puja at around 5:30 a.m. and Sandhya Aarati at 5 p.m.
Furthermore, Til Madhav Narayan’s idol is also worshipped as Janai Dharan Narayan, who is said to be untouchable by the girls.
Til Madhav Narayan, the deity who blesses the devotees with children
A courtyard, in addition to the temple, is considered sacred by Bhaktapurians. Because Ihi, one of the most essential rituals of every newa girl, was sometimes performed there.
In addition, on important occasions, devotees from faraway regions such as Pharping and Panauti come here in the hope that the Lord may grant their wishes. According to the temple priest, if anybody obtains the clarified butter (Ghee) of the naval of the Til Madhav Narayan on the fourth day of the Magh, his/her request is granted.
It is a local belief.
On the day of Maghe Sankranti, the statue of Til Madhav Narayan is immersed in clarified butter and presented to worshippers after four days. It is often held that God fills the laps of individuals with children who are experiencing difficulties with childlessness.
As a result, it is also revered as the deity that bestows offspring on followers.
About the emergence of Til Madhav Narayan
According to legend, even after selling tons of sesame seeds, one trader noticed that he had many more sesame seeds than he should have, and it wasn’t even close to being finished. There he discovered the image of Til Madhav Narayan.
Since then, devotees have offered Sesame seeds (Til) to the deity on the day of Maghe Sankranti every year. In addition, the god is worshipped on the days of Janai Purnima and the Madhav Narayan Festival in Bhaktapur."
Kileshwor Mahadev Temple; A Shiva temple on the premises of Changu,"Changu Narayan Temple courtyard, Changu Narayan Municipality, Bhaktapur District, Nepal.
27.716386, 85.428078","Changu Narayan temple; the oldest temple of Nepal
13.11 m
Chinna Masta Temple; a temple dedicated to the Goddess Kali
20.97 m","This tiny and two-storeyed temple on the premises of the Changu courtyard is called Kileshwor Mahadev Temple. People often call this temple the temple of Pasupatinath.
There is a shared belief that the lord Shiva gets settled over there to protect the hill. As the Changu Narayan temple, this temple also seems quite old and full of art and architecture. The struts behind the windows, and the upper section of the windows, show what a picturesque temple is.
The image of Umamaheshwor at Kileshwor temple PC: rockaroundtheworld
Moreover, the duplicate structure of this temple was made during the World Wood day 2016 celebrations in Nepal.  You can find the videos of it on youtube too. It says it took 9 days to complete it. With the resources of 531 timber pieces, 422 joints, and 7 tons of reclaimed sal wood."
Chinna Masta Temple; a temple dedicated to the Goddess Kali,"Changu Narayan Temple courtyard, Changu Narayan Municipality, Bhaktapur District, Nepal.
27.716229, 85.427960","Kileshwor Mahadev Temple; A Shiva temple on the premises of Changu
20.97 m
Changu Narayan temple; the oldest temple of Nepal
14.28 m","The Chinna Masta temple is completely dedicated to Chinna Masta Devi. The Changu’s inhabitants honour her as a local manifestation of Goddess Kali. She is thought to have existed before ancient times.
She accepted sacrifices since she is a tantric goddess. However, she is valued because of her sacrifice. According to legend, she decapitated herself in order to feed the ravenous Dakini and Varnini.
The Goddess of Chinna Masta
Almost every image of her shows that epigraphic story, where she retains her head in one hand. And, scimitar on the other hand. Plus, three spurts of blood mounting out from her neck and feeding Dakini, Varnini, and herself that blood.
This temple, over in the courtyard of Changu Narayan Temple has a single glided roof. And, in front of it, there are two miniature taleju bells. Moreover, it has two flags as well as guardians on both sides of the doors. The temple lies in the southeast corner of the courtyard."
Balkumari Temple of Thimi; a temple in the middle of the city,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.675718, 85.385297","Thimi: a 3000 years old city
360.22 m
Bode: a mini version of Madhyapur Thimi
2.57 km","Balkumari of Madhyapur Thimi is worshipped as one of the four kumaris of Kathmandu Valley. The local people praise her as their guardian deity. They also perform their livelihood ceremonies like marriage, and Barthabandha over there.
OUTLINES OF CONTENTS
The legends about the Balkumari temple
Balkumari temple and the biska jatra
How to get there?
The Balkumari temple has a brick-paved rectangular courtyard. Also, the minor and major deities within it like the Digu Bhairava temple.
The temple itself is of a three-falsehood which has amusingly impressive hanging Pataas. It also has a column in front of it, which has a beautiful representation of a peacock. There were more peacocks in its tier corners. But they all were stolen, leaving one among them.
patah of Balkumari temple
That’s why it was once sealed with strong iron bars including the Balkumari temple. But now, the iron bars have been removed and the temple is in its initial face.
peacock on the roof of Balkumari temple
The legends about the Balkumari temple
The temple has a long story, nearly dating back to the 17th century. Of course, cause the temple was established at that time. The legends say that a merchant of Madhyapur usually went to Lubu for trading purposes along with his group. But he somehow fell in love with the princess of the Lubu and vice versa.
Soon, the princess also got pregnant. For that reason, she asked the merchant to take her away with him to the thimi. The merchant happily accepted her proposal but at the same time, he put a condition too.
The condition was that if she wanted to come to thimi with him, she must bring the balkumari with her.
That the princess also happily accepted and brought the deity to the thimi. From that time, the deity was permanently shifted to thimi.
Plus, there is a womb-like structure right above the idol of the deity. That, in some way, justifies the story of shifting the deity by the pregnant woman.
Balkumari temple and the biska jatra
BALKUMARI TEMPLE
PC: KTM guide
The Balkumari temple became a course of titling and tattling when it came to the Biska Jatra. Yes, because this temple is foremost related to the vermilion festival, ordinarily known as Sindur Jatra. The jatra initially starts from this temple. But her chariot is not rounded to the whole city as other chariots do.
Her chariot is taken up to the temple of Prachanda Bhairva. Since it is believed that the ancient thimi was bordered that place in the north.
How to get there?
The temple is not a challenging place to reach instead it is truly quick to reach there. Half an hour of a taxi ride drops you at the entrance of the temple from Baagbazaar. Alternatively, if you choose to ride a local bus, then it might take around 45 minutes of time to reach thimi.
The Naya thimi, the bus conductor as well as the locals call the place Naya Thimi. From where you have to walk for exactly 5 minutes. There, on your left-hand side, on your second turn, you would find the temple."
National Art Museum; the Simhadhwaka Durbar of Bhaktapur,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672217, 85.428480","Kedarnath temple; one shikhara styled brick paved Shiva temple
66.81 m
Jagannath temple; the temple of wooden Krishna
39.63 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
84.45 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
12.83 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
102.74 m
55 window palace; the palace of mysterious carvings
25.53 m","The national art museum of Bhaktapur is one of the best acquisition hubs of medieval as well as the lichhavi art and history. That was a former palace then named Simhadhwaka Durbar. For the reason of having an image of a pair of stone lions.
OUTLINES OF CONTENTS
The ground floor of the National Art Museum
The first floor of the National Art Museum
Some extra notes
King Bhupatindra Malla erected it in 1698 A.D. Also, picturesque it as Malatichwok. But locals prefer to call it Simhadhwoka layaku rather than Malatichwok. Later, in 1960, the Government of Nepal and the Department of Archaeology set it up as the National Art Gallery.
The National Art Museum was inaugurated by Bishwesvar Prasad Koirala. He was Nepali Congress Supreme and the very first elected prime minister of Nepal.
Consequently, this museum is the best among the three museums of Bhaktapur. You can easily find this place, once you enter the Bhaktapur Durbar Square. The two stone images of lions pleasantly embrace you.
Simhadhwaka durbar
Along with that, another stone sculpture of Hanumanta-Bhairav and Nar-Shima also shows you the way toward the museum.
Statue of Hanumante Bhairava
Statue of Narshima
Notwithstanding, this museum has a small acquisition. But, it has a good collection of manuscripts and chronicles, which date back to the 11th century. Similarly, it is the home of ancient Paubha Scroll paintings, tantric cloth paintings. Also, the artefacts of bronze, brass, stone, and wooden images.
This architecture is not in its fundamental shape after the devastating earthquake of 1934 A.D. Yet, was also harmed in the quake of 2015. But, it is protecting a lot of unique discoveries in it. That includes the stone varieties on its ground floor.
The ground floor of the National Art Museum
As you enter the National Art Museum, you would find a counter where you have to pay and take the tickets. Advantageously, you won’t need to buy tickets for another two museums of Bhaktapur ( wood carving museum and the brass and bronze museum), once you buy one over there.
The tour of the Museum starts with the masks of Nava Durga, the most prestigious deities of the Bhaktapur, and the statue of four-handed Ganesha. Along with that, you can notice some stone inscriptions on your right-hand side.
The next room separated by a door somehow offers you more than the old inscriptions and masks. You would encounter the four-faced shivaling and other reverse statues of Surya, Kubera, Vishnu, Ardhanareshwor, Tara, Laxmi Narayan, and many more.
With that, this floor displays the most erotic paintings of god and goddess, specially dedicated to the Bhairava and his shakti. The description regarding those paintings says that the bhairava over here is shown in an extensive system of yogic union with his shakti, Bhairavi.
Simply looking at these paintings, one can see them engaging in sexual posture but the philosophy of such posture is quite different from what one sees through eyes. Those postures depict the tangible expression of the metaphysical concept that salvation results from the yogic union of the male and female organs.
However, there is one more image consisting of Mahasambhara that portrays the Mahasambhara, one of the popular deities of the Vajrayana cult of Buddhism in his extensive system of Yogic union with his shakti, Bajrabarahi.
The first floor of the National Art Museum
The very first floor of the National Art Museum is filled with paintings of different eras. And, it has an all-embracing paintings collection of airbrushing Vasundhara, Ganesh Shakti, Mahisa Sambhara, Vajra Yogini, Asta Bhairava with their shakti, and Shiva. It also has the classic paintings of Krishna Leela and Madhukaitavabadha.
The images of various kings and princes after King Prithi Narayan Shah are also depicted over there. The very first thing that you would notice over there is those immense memories of the kings.
Furthermore, the stage has centuries-old written inscriptions which apparently make us wonder and think about the inventions of that era. On top of that, the handwriting is super good.
Some extra notes
You can buy books related to paintings, woodcarvings, brass, and bronze over there. But the cost differs for Nepalese citizens and foreigners.
  Books For Nepalese For Foreigners
Thankas and paintings Rs.750 Rs.1000
Kasthakala (about the woodcarving)-written in Nepali Rs.450
Dhatukala (about the brass and bronze)-written in Nepali Rs.350
Kalakriti vivaran-written in Nepali Rs.600
You need to pay a little amount to enter there. You can check out the entry fee of other heritages sites of Nepal at the following link. Entry fees of the Heritage sites.
Sites Non-SAARC Nationals  SAARC nationals  Chinese Nationals Nepalese Remarks
National Art Museum Rs.150
(Normal Camera-100)
(Movie Camera-200)
Rs.50
(Normal Camera-50)
(Movie Camera-100)
Rs.150
(Normal Camera-100)
(Movie Camera-200)
Rs.25
(Normal Camera-50)
(Movie Camera-100)
Rs.10 for the students
Includes admission to the woodcarving museum as well as brass and bronze museum."
Badrinath temple; one out of the Char Dham temples of Bhaktapur,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672046, 85.427455","Yakshyeshwor temple; the Pashupatinath temple of Bhaktapur
104.32 m
Vatsala Durga Temple; after the devastating earthquake of 2015
93.48 m
Taleju bell ( Tagoun Ghan); the big bell of Bhaktapur Durbar Square
94.26 m
The most fascinating Statue of King Bhupatindra Malla
94.13 m
Rameshwor temple; one temple beyond the walls
14.32 m
National Art Museum; the Simhadhwaka Durbar of Bhaktapur
102.74 m
Layekuhiti ( Sunken hiti); the stone conduit of Bhaktapur Durbar Square
110.17 m
Kedarnath temple; one shikhara styled brick paved Shiva temple
45.8 m
Jagannath temple; the temple of wooden Krishna
63.82 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
18.29 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
94.89 m
Chyasalin mandap; It’s not a temple
111.79 m
55 window palace; the palace of mysterious carvings
88.72 m","Badrinath temple is a 17th old century temple. It postured itself within Nepalese traditional roofing style.  That makes this temple more unique than others.
By the sequence, King Bhupatindra Malla erected that temple. That was of the shikhara style. Unfortunately, the devastating earthquake of 1990B.S. turned this temple into a Nepalese roofing style temple.
It sounds quite weird. But another devastating earthquake of April 2015 brought this temple in its real posture. Today, the temple is again in the same shape. Yes, it is in the shikhara style as it was originally built.
Moreover, the most valuable thing, that this temple consists of is the statue of the Harihar. It is a combining form of lord shiva and Vishnu. That people call Badri Narayan or Badrinath. That then turns out to be the name of this temple.
Consequently, as the Badrinath temple. Most of the people know this temple as one of the pilgrimages of char Dham temples too."
Kedarnath temple; one shikhara styled brick paved Shiva temple,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671913, 85.427895","Rameshwor temple; one temple beyond the walls
50.86 m
Jagannath temple; the temple of wooden Krishna
28.99 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
31.01 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
45.8 m","The Kedarnath temple look-alike like the Badrinath Temple since both of them are made in terracotta form. The temple is called Kedarnath because of the statue of Kedaraeshwor that is established in the phallus of the temple.
This 17th-century temple is so eye-satisfying. Through which’s an eastern pedestal, you can observe the entire durbar area along with the rest house and temple of Vatsala Durga Temple. While from the western or the front pedestal of the temple, you can have a glimpse of the entire char Dham temple.
There are a total of five pinnacles in the temple including four sub-pinnacles. And, architecturally, they all turn in four directions. Despite that, it looks so splendid, of course, with the statues of lord shiva in it.
The stone pillars also seem fascinating with imaginative carvings.
The most dynamic king of the Malla era, King Bhupatindra Malla erected this temple. 
 "
Rameshwor temple; one temple beyond the walls,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672174, 85.427471","Kedarnath temple; one shikhara styled brick paved Shiva temple
50.86 m
Jagannath temple; the temple of wooden Krishna
62.5 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
19.86 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
14.32 m","Out of the four temples of Chardham temples, one is the Rameshwar temple. It is an open temple that stands with four artistic stone pillars. Somehow, this shiva temple tends to be called Rameshwar because of a darn.
The darn says that the initial Rameshwor temple was established by Lord Ram.  For that reason, people call this temple as Rameshwar Mahadev temple but ultimately, yes, it’s a shiva temple. Well, the Rameshwar temple of Bhaktapur is just a replica of the initial one that is in south India.
Consequently, this temple lies right in front of the Gopinath temple. While you enter from the west entrance to the durbar square, you can find this temple on your right-hand side.
The artistic king of the Malla era, King Bhupatindra Malla is credited for such beautiful work.
The shivaling of Jalhari and roof like backflipped lotus made this temple more elegant. There are no walls at all. So you can easily take a glimpse of the shivaling of the temple."
